symbol,date,price
roja,Jan 2008,42
roja,Feb 2008,87
roja,Mar 2008,200
roja,Apr 2008,250
roja,May 2008,385
roja,Jun 2008,526
roja,Jul 2008,669
roja,Aug 2008,890
roja,Sep 2008,1113
roja,Oct 2008,1335
roja,Nov 2008,1558
roja,Dec 2008,1780
roja,Jan 2009,1916
roja,Feb 2009,2157
roja,Mar 2009,2233
roja,Apr 2009,2323
roja,May 2009,2450
roja,Jun 2009,2700
roja,Jul 2009,2960
roja,Aug 2009,3276
roja,Sep 2009,3586
roja,Oct 2009,3892
roja,Nov 2009,4150
roja,Dec 2009,4447
roja,Jan 2010,4674
roja,Feb 2010,4838
roja,Mar 2010,5079
roja,Apr 2010,5285
roja,May 2010,5547
roja,Jun 2010,5861
roja,Jul 2010,6149
roja,Aug 2010,6487
roja,Sep 2010,6787
roja,Oct 2010,7148
roja,Nov 2010,7349
roja,Dec 2010,7564
roja,Jan 2011,7783
roja,Feb 2011,8017
roja,Mar 2011,8195
roja,Apr 2011,8366
roja,May 2011,8516
roja,Jun 2011,8667
roja,Jul 2011,8886
roja,Aug 2011,9010
roja,Sep 2011,9155
roja,Oct 2011,9299
roja,Nov 2011,9399
roja,Dec 2011,9522
roja,Jan 2012,9640
roja,Feb 2012,9722
roja,Mar 2012,9827
roja,Apr 2012,9935
roja,May 2012,10009
roja,Jun 2012,10058
roja,Jul 2012,10103
roja,Aug 2012,10144
roja,Sep 2012,10195
roja,Oct 2012,10224
roja,Nov 2012,10251
roja,Dec 2012,10282
roja,Jan 2013,10308
roja,Feb 2013,10333
roja,Mar 2013,10375
roja,Apr 2013,10421
roja,May 2013,10459
roja,Jun 2013,10512
roja,Jul 2013,10545
roja,Aug 2013,10594
roja,Sep 2013,10633
roja,Oct 2013,10669
roja,Nov 2013,10713
roja,Dec 2013,10766
