symbol,date,price
azul,Jan 2008,42
azul,Feb 2008,45
azul,Mar 2008,113
azul,Apr 2008,50
azul,May 2008,135
azul,Jun 2008,141
azul,Jul 2008,143
azul,Aug 2008,221
azul,Sep 2008,223
azul,Oct 2008,222
azul,Nov 2008,223
azul,Dec 2008,222
azul,Jan 2009,136
azul,Feb 2009,241
azul,Mar 2009,76
azul,Apr 2009,90
azul,May 2009,127
azul,Jun 2009,250
azul,Jul 2009,260
azul,Aug 2009,316
azul,Sep 2009,310
azul,Oct 2009,306
azul,Nov 2009,258
azul,Dec 2009,297
azul,Jan 2010,227
azul,Feb 2010,164
azul,Mar 2010,241
azul,Apr 2010,206
azul,May 2010,262
azul,Jun 2010,314
azul,Jul 2010,288
azul,Aug 2010,338
azul,Sep 2010,300
azul,Oct 2010,361
azul,Nov 2010,201
azul,Dec 2010,215
azul,Jan 2011,219
azul,Feb 2011,234
azul,Mar 2011,178
azul,Apr 2011,171
azul,May 2011,150
azul,Jun 2011,151
azul,Jul 2011,219
azul,Aug 2011,124
azul,Sep 2011,145
azul,Oct 2011,144
azul,Nov 2011,100
azul,Dec 2011,123
azul,Jan 2012,118
azul,Feb 2012,82
azul,Mar 2012,105
azul,Apr 2012,108
azul,May 2012,74
azul,Jun 2012,49
azul,Jul 2012,45
azul,Aug 2012,41
azul,Sep 2012,51
azul,Oct 2012,29
azul,Nov 2012,27
azul,Dec 2012,31
azul,Jan 2013,26
azul,Feb 2013,25
azul,Mar 2013,42
azul,Apr 2013,46
azul,May 2013,38
azul,Jun 2013,53
azul,Jul 2013,33
azul,Aug 2013,49
azul,Sep 2013,39
azul,Oct 2013,36
azul,Nov 2013,44
azul,Dec 2013,53
